data,miasto,sklep,kategoria,towar,cena,sztuk
2016-01-10,Białystok,Pietrasiuk,wyposażenie szkolne,kreda,5.00,45
2017-02-08,Białystok,Podsiadło,szkolno-biurowe,flamaster,0.99,19
2017-02-09,Łódź,Kaczmarek,meble,krzesło obrotowe,69.00,7
2016-02-21,Poznań,Borowik,wyposażenie szkolne,tablica,590.00,4
2017-02-02,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,72
2017-02-07,Kraków,Wróbel,meble,biurko,149.99,6
2016-08-11,Łódź,Kaczmarski,meble,biurko,149.99,6
2015-08-25,Radom,Arendt,wyposażenie szkolne,gąbka,4.00,96
2015-01-23,Warszawa,Malinowski,szkolno-biurowe,flamaster,0.99,134
2016-05-30,Katowice,Michalak,szkolno-biurowe,flamaster,0.99,68
2016-08-06,Radom,Arendt,meble,biurko,149.99,6
2015-12-17,Radom,Zawadzki,meble,biurko,149.99,3
2016-12-19,Warszawa,Malinowski,meble,biurko,149.99,5
2016-09-24,Radom,Grycuk,szkolno-biurowe,flamaster,0.99,74
2015-08-03,Kraków,Wróbel,wyposażenie szkolne,tablica,590.00,3
2016-06-09,Poznań,Romanowski,meble,krzesło obrotowe,69.00,21
2015-02-22,Łódź,Wdowiak,meble,krzesło obrotowe,69.00,6
2017-03-07,Gdańsk,Krupa,szkolno-biurowe,flamaster,0.99,259
2015-02-25,Łódź,Wdowiak,szkolno-biurowe,flamaster,0.99,73
2015-02-18,Gdańsk,Socha,meble,biurko,149.99,1
2015-10-08,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,59
2015-07-27,Kraków,Dudek,meble,krzesło obrotowe,69.00,13
2016-12-15,Poznań,Romanowski,wyposażenie szkolne,gąbka,4.00,301
2015-06-21,Radom,Czarnecki,meble,krzesło obrotowe,69.00,10
2016-08-31,Kraków,Kozłowski,wyposażenie szkolne,kreda,5.00,198
2015-10-03,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,471
2016-01-19,Katowice,Gaińska,meble,biurko,149.99,18
2016-09-12,Kraków,Sikorski,szkolno-biurowe,długopis,1.49,26
2016-05-23,Poznań,Szewczyk,szkolno-biurowe,długopis,1.49,192
2016-09-05,Radom,Czarnecki,wyposażenie szkolne,tablica,590.00,1
2015-07-14,Kraków,Dudek,szkolno-biurowe,dziurkacz,7.50,65
2015-08-13,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,2
2017-01-12,Radom,Grycuk,wyposażenie szkolne,kreda,5.00,29
2016-09-07,Gdańsk,Krupa,wyposażenie szkolne,tablica,590.00,4
2015-11-22,Katowice,Gaińska,szkolno-biurowe,plastelina,2.99,270
2015-09-12,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2016-06-13,Łódź,Kaczmarek,szkolno-biurowe,flamaster,0.99,131
2015-12-03,Kraków,Sikorski,wyposażenie szkolne,tablica,590.00,2
2016-06-12,Białystok,Podsiadło,szkolno-biurowe,dziurkacz,7.50,25
2016-03-13,Radom,Arendt,meble,biurko,149.99,6
2015-02-18,Warszawa,Stefaniak,szkolno-biurowe,dziurkacz,7.50,154
2015-05-02,Poznań,Borowik,szkolno-biurowe,dziurkacz,7.50,182
2016-12-30,Gdańsk,Żurek,szkolno-biurowe,dziurkacz,7.50,167
2016-03-16,Katowice,Jankowski,meble,krzesło obrotowe,69.00,36
2016-07-05,Poznań,Romanowski,wyposażenie szkolne,gąbka,4.00,332
2017-04-18,Radom,Czarnecki,wyposażenie szkolne,kreda,5.00,109
2015-08-03,Gdańsk,Socha,wyposażenie szkolne,kreda,5.00,140
2016-04-10,Katowice,Jankowski,szkolno-biurowe,długopis,1.49,292
2014-10-22,Warszawa,Stefaniak,meble,biurko,149.99,13
2016-10-21,Katowice,Jankowski,wyposażenie szkolne,kreda,5.00,406
2015-08-20,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,435
2015-12-01,Białystok,Podsiadło,szkolno-biurowe,flamaster,0.99,49
2015-09-21,Łódź,Kaczmarek,meble,biurko,149.99,1
2016-05-02,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,8
2016-03-31,Kraków,Wróbel,wyposażenie szkolne,gąbka,4.00,89
2014-12-03,Katowice,Jankowski,meble,krzesło obrotowe,69.00,15
2016-10-02,Katowice,Gaińska,szkolno-biurowe,plastelina,2.99,460
2015-06-19,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,262
2016-08-10,Katowice,Michalak,meble,krzesło obrotowe,69.00,38
2016-11-15,Poznań,Szewczyk,szkolno-biurowe,flamaster,0.99,58
2015-06-29,Białystok,Podsiadło,meble,krzesło obrotowe,69.00,7
2014-11-09,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,30
2015-11-14,Radom,Czarnecki,wyposażenie szkolne,tablica,590.00,1
2016-06-24,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,2
2016-11-16,Gdańsk,Socha,szkolno-biurowe,dziurkacz,7.50,84
2017-03-22,Białystok,Podsiadło,szkolno-biurowe,plastelina,2.99,47
2015-03-23,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,19
2016-09-21,Radom,Arendt,szkolno-biurowe,długopis,1.49,54
2017-03-13,Radom,Zawadzki,wyposażenie szkolne,tablica,590.00,1
2016-03-17,Białystok,Podsiadło,meble,krzesło obrotowe,69.00,4
2016-08-03,Warszawa,Stefaniak,meble,biurko,149.99,1
2016-10-19,Katowice,Jankowski,szkolno-biurowe,długopis,1.49,301
2015-02-27,Gdańsk,Skiba,szkolno-biurowe,długopis,1.49,129
2015-05-22,Poznań,Szewczyk,wyposażenie szkolne,kreda,5.00,327
2015-10-28,Łódź,Kaczmarek,szkolno-biurowe,flamaster,0.99,218
2014-11-17,Katowice,Gaińska,wyposażenie szkolne,tablica,590.00,2
2015-11-13,Poznań,Borowik,szkolno-biurowe,plastelina,2.99,90
2015-04-18,Łódź,Wdowiak,szkolno-biurowe,plastelina,2.99,249
2015-01-10,Katowice,Jankowski,wyposażenie szkolne,kreda,5.00,445
2015-10-02,Radom,Arendt,wyposażenie szkolne,gąbka,4.00,50
2014-10-25,Radom,Grycuk,meble,biurko,149.99,7
2016-04-17,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2014-11-18,Białystok,Pietrasiuk,meble,biurko,149.99,2
2014-12-28,Gdańsk,Socha,wyposażenie szkolne,tablica,590.00,3
2015-07-03,Warszawa,Malinowski,meble,biurko,149.99,21
2015-04-09,Warszawa,Stefaniak,meble,biurko,149.99,6
2015-09-20,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,89
2016-11-01,Kraków,Dudek,meble,biurko,149.99,8
2017-04-21,Poznań,Romanowski,szkolno-biurowe,dziurkacz,7.50,163
2015-01-03,Kraków,Sikorski,szkolno-biurowe,długopis,1.49,70
2016-10-05,Radom,Grycuk,szkolno-biurowe,długopis,1.49,38
2015-02-26,Łódź,Wdowiak,wyposażenie szkolne,gąbka,4.00,248
2015-01-10,Kraków,Dudek,meble,krzesło obrotowe,69.00,22
2016-12-17,Białystok,Podsiadło,szkolno-biurowe,długopis,1.49,9
2016-05-06,Gdańsk,Żurek,meble,biurko,149.99,15
2016-05-07,Warszawa,Malinowski,meble,biurko,149.99,5
2016-10-07,Łódź,Kaczmarski,meble,biurko,149.99,8
2015-12-06,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,5
2016-09-09,Kraków,Dudek,szkolno-biurowe,plastelina,2.99,207
2016-09-16,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,19
2016-01-27,Katowice,Gaińska,szkolno-biurowe,flamaster,0.99,260
2016-07-07,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,145
2016-11-03,Poznań,Romanowski,szkolno-biurowe,długopis,1.49,218
2016-10-20,Gdańsk,Krupa,wyposażenie szkolne,gąbka,4.00,369
2016-02-27,Łódź,Kaczmarski,szkolno-biurowe,plastelina,2.99,158
2017-01-05,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,4
2016-10-09,Poznań,Romanowski,wyposażenie szkolne,kreda,5.00,61
2015-08-10,Katowice,Jankowski,meble,krzesło obrotowe,69.00,23
2015-01-19,Łódź,Wdowiak,wyposażenie szkolne,kreda,5.00,192
2017-04-24,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,134
2017-02-28,Katowice,Jankowski,meble,biurko,149.99,14
2016-01-24,Łódź,Kaczmarek,meble,biurko,149.99,9
2015-05-19,Gdańsk,Krupa,meble,krzesło obrotowe,69.00,5
2015-12-19,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,2
2015-01-29,Poznań,Borowik,szkolno-biurowe,dziurkacz,7.50,190
2017-04-21,Radom,Czarnecki,wyposażenie szkolne,gąbka,4.00,13
2014-10-10,Katowice,Gaińska,meble,biurko,149.99,10
2016-12-25,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,11
2016-12-22,Gdańsk,Krupa,meble,biurko,149.99,1
2014-11-30,Białystok,Pietrasiuk,meble,biurko,149.99,2
2016-04-09,Warszawa,Malinowski,meble,biurko,149.99,6
2015-09-03,Białystok,Pietrasiuk,wyposażenie szkolne,gąbka,4.00,33
2017-04-10,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,5
2015-09-24,Kraków,Wróbel,meble,biurko,149.99,1
2015-05-19,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,362
2017-04-27,Katowice,Michalak,szkolno-biurowe,plastelina,2.99,290
2017-01-04,Poznań,Romanowski,wyposażenie szkolne,gąbka,4.00,39
2014-11-06,Łódź,Wdowiak,szkolno-biurowe,flamaster,0.99,138
2016-11-18,Łódź,Kaczmarek,wyposażenie szkolne,tablica,590.00,2
2016-01-20,Poznań,Szewczyk,szkolno-biurowe,długopis,1.49,8
2014-11-15,Łódź,Wdowiak,szkolno-biurowe,dziurkacz,7.50,70
2017-02-06,Gdańsk,Żurek,meble,biurko,149.99,4
2016-05-07,Poznań,Romanowski,meble,biurko,149.99,15
2015-12-12,Gdańsk,Skiba,szkolno-biurowe,długopis,1.49,157
2016-03-05,Łódź,Kaczmarek,wyposażenie szkolne,tablica,590.00,2
2016-10-06,Radom,Arendt,wyposażenie szkolne,tablica,590.00,2
2014-10-21,Łódź,Wdowiak,szkolno-biurowe,dziurkacz,7.50,88
2016-12-29,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,75
2015-05-15,Katowice,Gaińska,meble,krzesło obrotowe,69.00,5
2017-04-24,Łódź,Wdowiak,wyposażenie szkolne,tablica,590.00,3
2016-07-02,Białystok,Podsiadło,wyposażenie szkolne,gąbka,4.00,5
2016-02-21,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,21
2015-11-17,Kraków,Kozłowski,wyposażenie szkolne,gąbka,4.00,205
2015-12-10,Gdańsk,Skiba,wyposażenie szkolne,kreda,5.00,41
2016-04-03,Radom,Arendt,meble,krzesło obrotowe,69.00,8
2016-08-30,Radom,Zawadzki,wyposażenie szkolne,kreda,5.00,95
2016-08-06,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,22
2016-05-16,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,4
2017-01-04,Gdańsk,Krupa,szkolno-biurowe,flamaster,0.99,9
2015-11-05,Poznań,Romanowski,wyposażenie szkolne,tablica,590.00,1
2015-07-08,Poznań,Szewczyk,meble,biurko,149.99,15
2016-07-24,Łódź,Kaczmarek,meble,krzesło obrotowe,69.00,22
2017-04-28,Radom,Czarnecki,meble,biurko,149.99,5
2015-01-21,Łódź,Wdowiak,meble,biurko,149.99,6
2016-10-27,Białystok,Podsiadło,szkolno-biurowe,plastelina,2.99,45
2016-06-09,Kraków,Kozłowski,szkolno-biurowe,długopis,1.49,11
2017-04-12,Gdańsk,Żurek,wyposażenie szkolne,tablica,590.00,1
2014-11-30,Kraków,Kozłowski,wyposażenie szkolne,tablica,590.00,2
2015-06-01,Łódź,Kaczmarek,szkolno-biurowe,dziurkacz,7.50,58
2015-12-24,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,8
2014-12-13,Gdańsk,Socha,meble,krzesło obrotowe,69.00,4
2015-01-09,Radom,Arendt,wyposażenie szkolne,tablica,590.00,2
2016-03-07,Poznań,Borowik,wyposażenie szkolne,gąbka,4.00,197
2015-10-02,Kraków,Wróbel,meble,krzesło obrotowe,69.00,7
2016-03-26,Katowice,Jankowski,meble,biurko,149.99,14
2015-05-21,Kraków,Wróbel,wyposażenie szkolne,gąbka,4.00,157
2015-01-21,Poznań,Borowik,szkolno-biurowe,długopis,1.49,114
2016-03-11,Gdańsk,Socha,wyposażenie szkolne,tablica,590.00,2
2015-10-04,Kraków,Wróbel,meble,krzesło obrotowe,69.00,23
2014-12-15,Gdańsk,Skiba,wyposażenie szkolne,kreda,5.00,53
2017-05-02,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,1
2015-04-05,Warszawa,Malinowski,szkolno-biurowe,długopis,1.49,52
2014-10-30,Kraków,Dudek,szkolno-biurowe,dziurkacz,7.50,53
2015-03-12,Katowice,Gaińska,meble,krzesło obrotowe,69.00,20
2017-04-16,Warszawa,Malinowski,szkolno-biurowe,długopis,1.49,76
2017-01-18,Gdańsk,Socha,wyposażenie szkolne,gąbka,4.00,148
2015-03-23,Radom,Zawadzki,wyposażenie szkolne,kreda,5.00,62
2016-10-27,Radom,Grycuk,szkolno-biurowe,plastelina,2.99,71
2017-01-06,Katowice,Gaińska,szkolno-biurowe,flamaster,0.99,261
2016-01-06,Katowice,Michalak,meble,biurko,149.99,13
2015-11-24,Łódź,Kaczmarski,wyposażenie szkolne,tablica,590.00,1
2015-10-22,Gdańsk,Socha,meble,biurko,149.99,7
2017-02-18,Poznań,Borowik,meble,krzesło obrotowe,69.00,16
2016-10-15,Białystok,Pietrasiuk,szkolno-biurowe,dziurkacz,7.50,7
2015-03-31,Gdańsk,Socha,meble,krzesło obrotowe,69.00,1
2015-03-27,Kraków,Sikorski,meble,krzesło obrotowe,69.00,5
2015-03-29,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,131
2015-10-05,Poznań,Szewczyk,wyposażenie szkolne,kreda,5.00,341
2017-03-05,Kraków,Sikorski,wyposażenie szkolne,gąbka,4.00,270
2015-07-11,Katowice,Gaińska,meble,biurko,149.99,20
2016-09-21,Gdańsk,Żurek,szkolno-biurowe,długopis,1.49,46
2015-08-12,Katowice,Jankowski,meble,biurko,149.99,14
2016-06-08,Poznań,Szewczyk,szkolno-biurowe,dziurkacz,7.50,198
2016-02-10,Łódź,Kaczmarski,wyposażenie szkolne,gąbka,4.00,218
2016-08-17,Białystok,Pietrasiuk,szkolno-biurowe,plastelina,2.99,63
2016-07-03,Radom,Czarnecki,wyposażenie szkolne,kreda,5.00,26
2015-02-01,Poznań,Borowik,szkolno-biurowe,plastelina,2.99,57
2017-01-06,Łódź,Kaczmarski,szkolno-biurowe,dziurkacz,7.50,27
2016-08-08,Białystok,Pietrasiuk,meble,biurko,149.99,2
2015-10-18,Warszawa,Malinowski,szkolno-biurowe,flamaster,0.99,224
2016-12-21,Radom,Czarnecki,meble,krzesło obrotowe,69.00,9
2016-07-29,Katowice,Gaińska,meble,krzesło obrotowe,69.00,23
2016-12-26,Radom,Zawadzki,szkolno-biurowe,długopis,1.49,49
2016-12-09,Katowice,Michalak,wyposażenie szkolne,tablica,590.00,5
2017-03-24,Poznań,Romanowski,meble,krzesło obrotowe,69.00,31
2016-07-10,Katowice,Gaińska,szkolno-biurowe,długopis,1.49,70
2016-02-14,Radom,Arendt,wyposażenie szkolne,tablica,590.00,2
2016-07-13,Białystok,Podsiadło,szkolno-biurowe,dziurkacz,7.50,15
2015-01-21,Poznań,Romanowski,szkolno-biurowe,plastelina,2.99,316
2015-07-28,Białystok,Podsiadło,meble,krzesło obrotowe,69.00,4
2015-06-08,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,4
2014-12-05,Katowice,Michalak,meble,krzesło obrotowe,69.00,40
2016-10-10,Kraków,Sikorski,meble,biurko,149.99,5
2015-07-06,Kraków,Dudek,wyposażenie szkolne,gąbka,4.00,126
2016-04-07,Łódź,Kaczmarek,szkolno-biurowe,dziurkacz,7.50,56
2016-07-21,Warszawa,Malinowski,meble,biurko,149.99,2
2015-08-10,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,146
2016-02-07,Gdańsk,Krupa,meble,biurko,149.99,8
2015-07-20,Poznań,Borowik,wyposażenie szkolne,tablica,590.00,3
2015-09-18,Gdańsk,Żurek,wyposażenie szkolne,tablica,590.00,2
2016-07-19,Radom,Czarnecki,szkolno-biurowe,dziurkacz,7.50,54
2015-08-23,Kraków,Sikorski,szkolno-biurowe,długopis,1.49,179
2014-12-02,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,62
2015-12-06,Gdańsk,Żurek,meble,krzesło obrotowe,69.00,21
2015-04-15,Katowice,Gaińska,wyposażenie szkolne,gąbka,4.00,200
2015-05-18,Katowice,Michalak,szkolno-biurowe,flamaster,0.99,348
2016-12-08,Kraków,Kozłowski,meble,biurko,149.99,10
2016-11-17,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,339
2015-08-18,Białystok,Podsiadło,meble,biurko,149.99,4
2017-02-17,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,1
2015-02-20,Kraków,Kozłowski,meble,biurko,149.99,2
2016-04-23,Łódź,Kaczmarski,szkolno-biurowe,plastelina,2.99,74
2017-02-05,Gdańsk,Żurek,szkolno-biurowe,flamaster,0.99,67
2017-02-13,Radom,Zawadzki,meble,krzesło obrotowe,69.00,6
2016-04-09,Katowice,Michalak,meble,biurko,149.99,12
2016-07-03,Gdańsk,Skiba,szkolno-biurowe,dziurkacz,7.50,95
2017-03-11,Poznań,Romanowski,meble,krzesło obrotowe,69.00,31
2014-11-04,Radom,Arendt,meble,biurko,149.99,2
2014-12-30,Białystok,Pietrasiuk,wyposażenie szkolne,gąbka,4.00,14
2015-05-22,Radom,Grycuk,szkolno-biurowe,długopis,1.49,96
2014-10-19,Białystok,Podsiadło,wyposażenie szkolne,gąbka,4.00,42
2015-01-07,Łódź,Kaczmarski,wyposażenie szkolne,tablica,590.00,3
2016-07-01,Poznań,Romanowski,szkolno-biurowe,plastelina,2.99,332
2014-12-10,Kraków,Wróbel,meble,biurko,149.99,12
2015-05-01,Katowice,Michalak,szkolno-biurowe,dziurkacz,7.50,41
2016-08-06,Kraków,Kozłowski,meble,krzesło obrotowe,69.00,4
2016-12-13,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,1
2015-09-06,Poznań,Borowik,szkolno-biurowe,długopis,1.49,81
2015-05-13,Warszawa,Stefaniak,szkolno-biurowe,dziurkacz,7.50,213
2015-04-27,Gdańsk,Socha,meble,biurko,149.99,16
2015-03-12,Kraków,Dudek,meble,krzesło obrotowe,69.00,7
2015-11-02,Radom,Czarnecki,wyposażenie szkolne,kreda,5.00,135
2014-12-17,Radom,Grycuk,wyposażenie szkolne,gąbka,4.00,19
2016-05-25,Poznań,Romanowski,szkolno-biurowe,dziurkacz,7.50,94
2016-04-11,Kraków,Dudek,meble,biurko,149.99,3
2016-12-03,Gdańsk,Socha,szkolno-biurowe,długopis,1.49,101
2015-06-17,Łódź,Kaczmarek,szkolno-biurowe,flamaster,0.99,49
2016-01-11,Katowice,Michalak,wyposażenie szkolne,kreda,5.00,158
2016-11-01,Radom,Arendt,wyposażenie szkolne,tablica,590.00,1
2017-02-23,Katowice,Gaińska,wyposażenie szkolne,gąbka,4.00,175
2015-09-06,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,44
2016-05-23,Gdańsk,Socha,szkolno-biurowe,długopis,1.49,222
2016-11-02,Kraków,Sikorski,wyposażenie szkolne,kreda,5.00,132
2016-03-28,Białystok,Pietrasiuk,wyposażenie szkolne,gąbka,4.00,29
2015-12-07,Gdańsk,Żurek,wyposażenie szkolne,tablica,590.00,4
2017-04-01,Gdańsk,Żurek,meble,biurko,149.99,3
2016-04-06,Poznań,Szewczyk,szkolno-biurowe,flamaster,0.99,123
2016-02-22,Kraków,Wróbel,szkolno-biurowe,dziurkacz,7.50,118
2015-12-08,Kraków,Sikorski,szkolno-biurowe,dziurkacz,7.50,68
2016-03-07,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2016-09-30,Gdańsk,Krupa,meble,biurko,149.99,2
2016-02-20,Katowice,Michalak,wyposażenie szkolne,tablica,590.00,2
2015-12-19,Gdańsk,Żurek,meble,krzesło obrotowe,69.00,5
2015-05-10,Łódź,Kaczmarski,wyposażenie szkolne,tablica,590.00,3
2016-02-23,Katowice,Gaińska,szkolno-biurowe,długopis,1.49,195
2016-06-01,Gdańsk,Socha,meble,biurko,149.99,5
2016-04-08,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,251
2015-09-16,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2014-11-20,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,9
2015-01-14,Kraków,Sikorski,wyposażenie szkolne,tablica,590.00,3
2015-01-13,Białystok,Podsiadło,szkolno-biurowe,dziurkacz,7.50,21
2015-08-16,Gdańsk,Żurek,meble,biurko,149.99,1
2016-07-07,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,12
2015-09-01,Katowice,Gaińska,meble,krzesło obrotowe,69.00,23
2014-12-04,Kraków,Wróbel,wyposażenie szkolne,tablica,590.00,3
2016-10-20,Radom,Czarnecki,meble,biurko,149.99,5
2016-10-02,Radom,Zawadzki,meble,biurko,149.99,8
2017-03-06,Radom,Grycuk,meble,biurko,149.99,2
2015-02-14,Łódź,Wdowiak,szkolno-biurowe,flamaster,0.99,238
2016-11-24,Łódź,Kaczmarski,wyposażenie szkolne,kreda,5.00,218
2016-05-20,Katowice,Gaińska,meble,biurko,149.99,15
2015-04-06,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,31
2017-02-16,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,16
2015-03-19,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,39
2015-12-04,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,29
2016-02-05,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,3
2015-11-19,Kraków,Wróbel,wyposażenie szkolne,tablica,590.00,1
2017-01-28,Poznań,Romanowski,wyposażenie szkolne,gąbka,4.00,232
2015-08-29,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,16
2017-04-25,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,3
2015-02-26,Łódź,Kaczmarek,szkolno-biurowe,dziurkacz,7.50,84
2014-10-22,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,67
2015-08-01,Kraków,Dudek,szkolno-biurowe,flamaster,0.99,10
2015-03-26,Katowice,Gaińska,szkolno-biurowe,dziurkacz,7.50,26
2015-01-12,Radom,Czarnecki,meble,krzesło obrotowe,69.00,12
2016-11-06,Warszawa,Malinowski,szkolno-biurowe,dziurkacz,7.50,121
2016-06-17,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,4
2015-09-13,Katowice,Jankowski,meble,krzesło obrotowe,69.00,34
2015-07-22,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,26
